open_time,open_price,high_price,low_price,close_price,volume,turnover
1713817200000,66606.6,66694,66541.7,66592.1,161.623,10762750.7014
1713817500000,66592.1,66605.3,66539.1,66547.9,112.04,7458065.7482
1713817800000,66547.9,66552.1,66457.6,66490.1,233.746,15541594.0015
1713818100000,66490.1,66500,66446.3,66452.5,120.398,8002899.9324
1713818400000,66452.5,66453.4,66410.5,66447.2,85.473,5678275.9669
1713818700000,66447.2,66447.2,66406.1,66420.6,87.151,5788310.4406
1713819000000,66420.6,66428.6,66335.7,66392.7,289.366,19205180.4497
1713819300000,66392.7,66473.9,66339.2,66468.5,232.394,15433854.1578
1713819600000,66468.5,66514.2,66395.7,66401.7,175.043,11631501.6071
1713819900000,66401.7,66457.4,66394,66416,85.29,5664703.39
1713820200000,66416,66434,66392,66397.5,46.103,3061930.92
1713820500000,66397.5,66489.9,66392.5,66489.8,124.886,8299308.2339
1713820800000,66489.8,66489.8,66452.8,66452.8,88.368,5874088.3806
1713821100000,66452.8,66460,66447.9,66447.9,36.031,2394370.3141
1713821400000,66447.9,66460,66424,66435.6,45.589,3028788.5514
1713821700000,66435.6,66496.9,66261.9,66456,875.271,58079856.4422
1713822000000,66456,66536.6,66440.2,66441.4,179.406,11927129.5465
1713822300000,66441.4,66483.5,66441.3,66454,57.405,3814861.5811
1713822600000,66454,66503.4,66411,66495.8,101.92,6772588.6947
1713822900000,66495.8,66510,66448.1,66481.9,71.202,4734165.1466
1713823200000,66481.9,66644.8,66481.9,66640,239.977,15977829.0498
1713823500000,66640,66686.2,66591,66640,275.63,18369108.0884
1713823800000,66640,66740.5,66639.9,66737.7,226.329,15094183.1829
1713824100000,66737.7,66741.8,66612.8,66646.9,233.79,15584165.7623
1713824400000,66646.9,66656,66567.2,66656,146.623,9765680.6761
1713824700000,66656,66725.8,66656,66656.3,208.303,13892991.1158
1713825000000,66656.3,66727.3,66654.4,66720.3,117.205,7816083.6825
1713825300000,66720.3,66769.6,66598.8,66659.3,254.868,16995722.2468
1713825600000,66659.3,66682,66624.9,66648.9,92.584,6171778.7761
1713825900000,66648.9,66748.1,66631.8,66725.3,175.473,11704767.1174
1713826200000,66725.3,67190,66720,67132.6,2605.535,174536476.6851
1713826500000,67132.6,67175.3,66953,66987.7,791.343,53074760.9334
1713826800000,66987.7,67106.5,66850.2,66990.1,1170.962,78417333.2369
1713827100000,66990.1,67145.9,66966.5,67126.7,462.396,31008962.4536
1713827400000,67126.7,67198.9,67011,67152,545.612,36613486.8276
1713827700000,67152,67183.8,67082.2,67126.7,321.603,21589219.6946
1713828000000,67126.7,67145,66967,66979.9,360.017,24128562.9808
1713828300000,66979.9,67050,66961.2,66970.1,179.573,12030500.3798
